k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
49,-14.3333,-8795.05,8766.38,0.00869523,-3.56565,-2619.19,2612.06,0.800113,7.60231,-7.6585,-257679,257664,7.60231
50,-13.8374,-9162.36,9134.69,0.00870179,-3.55431,-2890.66,2883.55,0.80017,7.60423,-7.61258,-282838,282822,7.60423
51,-13.3596,-9537.12,9510.4,0.00860203,-3.54304,-3187.94,3180.86,0.80023,7.60372,-7.55655,-310243,310228,7.60372
k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
1,0.011757,-0.0183332,0.0418472,0.00861396,0.507902,0.484388,0.531416,0.800246,7.60422,7.06675,6.86795,7.26556,7.60422
k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
1,0.0116803,-0.0184099,0.0417705,0.0089815,0.572655,0.549142,0.596169,0.800104,7.58011,7.06911,6.87031,7.26791,7.58011
2,-0.138975,-0.21997,-0.0579801,0.00895479,0.52509,0.484352,0.565828,0.800196,7.58136,6.24851,5.83705,6.65997,7.58136
3,-0.433846,-0.681543,-0.186149,0.00902043,0.481953,0.415835,0.548072,0.800101,7.58092,6.16518,5.52941,6.80095,7.58092
4,-0.895291,-1.50186,-0.288719,0.0090628,0.430961,0.324453,0.537469,0.800074,7.5794,6.27719,5.32467,7.22971,7.5794
5,-1.59941,-2.94673,-0.252089,0.00896317,0.362326,0.183538,0.541114,0.800158,7.58095,6.55958,4.98538,8.13377,7.58095
k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
1,0.0119605,-0.0181297,0.0420507,0.00865433,0.473345,0.449831,0.496859,0.800127,7.6024,7.06675,6.86795,7.26556,7.6024
2,-0.311779,-0.398518,-0.225041,0.0086449,0.378905,0.337767,0.420043,0.800108,7.60387,5.81266,5.40004,6.22528,7.60387
3,-1.06358,-1.35204,-0.775115,0.00876447,0.278847,0.209896,0.347799,0.800249,7.60393,5.86893,5.22484,6.51302,7.60393
