k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
4534,0.0464443,0.0454759,0.0474127,0.0462944,-5.55537,-7.82317,-3.28757,0.466504,3.42447,2798.33,-1.73414e+07,1.7347e+07,3.42447
4535,0.0473803,0.0464119,0.0483487,0.0472493,-5.55535,-7.82365,-3.28705,0.466129,3.42333,2773.11,-1.7345e+07,1.73506e+07,3.42333
4536,0.0482855,0.0473171,0.0492539,0.0482293,-5.55533,-7.82413,-3.28653,0.465793,3.42115,2752.47,-1.73486e+07,1.73541e+07,3.42115
4537,0.0491611,0.0481927,0.0501295,0.0490565,-5.55532,-7.82462,-3.28602,0.465361,3.4197,2735.52,-1.73523e+07,1.73578e+07,3.4197
4538,0.0500079,0.0490395,0.0509763,0.0499574,-5.55531,-7.82511,-3.28551,0.465097,3.41979,2721.73,-1.7356e+07,1.73614e+07,3.41979
4539,0.0508274,0.049859,0.0517958,0.050748,-5.5553,-7.8256,-3.285,0.464815,3.418,2710.28,-1.73597e+07,1.73651e+07,3.418
4540,0.0516194,0.0506509,0.0525878,0.0515907,-5.5553,-7.8261,-3.2845,0.464537,3.41827,2700.93,-1.73634e+07,1.73688e+07,3.41827
4541,0.0523855,0.0514171,0.0533539,0.0524325,-5.55529,-7.82659,-3.28399,0.464194,3.41729,2693.2,-1.73672e+07,1.73726e+07,3.41729
4542,0.0531262,0.0521578,0.0540946,0.053155,-5.55529,-7.82708,-3.28349,0.463777,3.41516,2686.93,-1.73709e+07,1.73763e+07,3.41516
4543,0.053843,0.0528746,0.0548114,0.0538931,-5.55528,-7.82758,-3.28298,0.463462,3.4147,2681.75,-1.73747e+07,1.73801e+07,3.4147
4544,0.0545361,0.0535677,0.0555045,0.0545241,-5.55528,-7.82808,-3.28248,0.463067,3.41331,2677.51,-1.73785e+07,1.73838e+07,3.41331
4545,0.0552064,0.054238,0.0561748,0.0552257,-5.55528,-7.82858,-3.28198,0.462672,3.41384,2674.07,-1.73823e+07,1.73876e+07,3.41384
4546,0.055855,0.0548866,0.0568234,0.0559733,-5.55527,-7.82907,-3.28148,0.462362,3.41191,2671.24,-1.73861e+07,1.73914e+07,3.41191
4547,0.0564823,0.0555139,0.0574507,0.0566577,-5.55527,-7.82957,-3.28097,0.462091,3.41201,2668.93,-1.73899e+07,1.73952e+07,3.41201
4548,0.057089,0.0561206,0.0580574,0.0572618,-5.55527,-7.83007,-3.28047,0.461722,3.41029,2667.03,-1.73937e+07,1.7399e+07,3.41029
4549,0.0576759,0.0567075,0.0586443,0.0578106,-5.55527,-7.83057,-3.27997,0.461279,3.41053,2665.58,-1.73975e+07,1.74028e+07,3.41053
4550,0.058244,0.0572756,0.0592124,0.0583134,-5.55527,-7.83107,-3.27947,0.46102,3.66127,1993.69,-1.73947e+07,1.73986e+07,3.66127
4551,0.0553512,0.0543828,0.0563196,0.0554767,-5.55487,-7.83117,-3.27857,0.461168,3.66411,1443.47,-1.7393e+07,1.73959e+07,3.66411
4552,0.0525532,0.0515848,0.0535216,0.052641,-5.55454,-7.83134,-3.27774,0.461226,3.667,992.712,-1.73924e+07,1.73944e+07,3.667
4553,0.049847,0.0488786,0.0508154,0.0499453,-5.55427,-7.83157,-3.27698,0.461358,3.6697,623.383,-1.73925e+07,1.73938e+07,3.6697
4554,0.0472294,0.046261,0.0481979,0.0473359,-5.55405,-7.83185,-3.27626,0.461455,3.67227,320.729,-1.73934e+07,1.7394e+07,3.67227
4555,0.0446977,0.0437293,0.0456661,0.0447815,-5.55387,-7.83217,-3.27558,0.461514,3.67512,72.6836,-1.73947e+07,1.73949e+07,3.67512
4556,0.042249,0.0412806,0.0432174,0.0424281,-5.55373,-7.83253,-3.27493,0.461654,3.67662,-130.659,-1.73965e+07,1.73962e+07,3.67662
4557,0.0398804,0.038912,0.0408488,0.0399592,-5.55361,-7.8329,-3.27431,0.461833,3.67905,-297.305,-1.73987e+07,1.73981e+07,3.67905
4558,0.0375896,0.0366212,0.038558,0.0375903,-5.55351,-7.8333,-3.27371,0.461935,3.53812,-52.2009,-1.74049e+07,1.74048e+07,3.53812
4559,0.0373408,0.0363724,0.0383092,0.0373253,-5.55365,-7.83395,-3.27335,0.461747,3.53763,148.795,-1.74107e+07,1.7411e+07,3.53763
4560,0.0371002,0.0361318,0.0380686,0.0370995,-5.55377,-7.83457,-3.27297,0.461699,3.53782,313.646,-1.74162e+07,1.74168e+07,3.53782
4561,0.0368675,0.0358991,0.0378359,0.0368345,-5.55387,-7.83517,-3.27257,0.461582,3.53794,448.843,-1.74214e+07,1.74223e+07,3.53794
4562,0.0366424,0.035674,0.0376108,0.0366049,-5.55395,-7.83575,-3.27215,0.461419,3.53896,559.749,-1.74263e+07,1.74274e+07,3.53896
4563,0.0364249,0.0354565,0.0373933,0.0364314,-5.55402,-7.83632,-3.27172,0.461233,3.5384,650.696,-1.7431e+07,1.74323e+07,3.5384
4564,0.0362145,0.0352461,0.0371829,0.0361512,-5.55407,-7.83687,-3.27127,0.461053,3.5399,725.239,-1.74356e+07,1.7437e+07,3.5399
4565,0.0360108,0.0350424,0.0369792,0.0360053,-5.55412,-7.83741,-3.27082,0.460887,3.54003,786.364,-1.744e+07,1.74416e+07,3.54003
4566,0.0358138,0.0348454,0.0367822,0.0358781,-5.55415,-7.83795,-3.27035,0.460833,3.53877,836.484,-1.74443e+07,1.7446e+07,3.53877
4567,0.0356232,0.0346548,0.0365916,0.0357051,-5.55418,-7.83848,-3.26988,0.460642,3.53969,877.581,-1.74485e+07,1.74503e+07,3.53969
4568,0.0354389,0.0344705,0.0364073,0.0355606,-5.55421,-7.839,-3.26941,0.460423,3.53985,911.312,-1.74527e+07,1.74545e+07,3.53985
4569,0.0352609,0.0342925,0.0362293,0.0354648,-5.55423,-7.83952,-3.26893,0.460272,3.539,938.934,-1.74568e+07,1.74587e+07,3.539
4570,0.0350884,0.03412,0.0360568,0.0352232,-5.55424,-7.84004,-3.26844,0.460158,3.53971,961.617,-1.74608e+07,1.74628e+07,3.53971
4571,0.0349219,0.0339535,0.0358903,0.0351167,-5.55426,-7.84055,-3.26796,0.459943,3.54058,980.25,-1.74648e+07,1.74668e+07,3.54058
4572,0.0347609,0.0337925,0.0357293,0.0350213,-5.55427,-7.84107,-3.26747,0.459841,3.54003,995.423,-1.74688e+07,1.74708e+07,3.54003
4573,0.0346047,0.0336363,0.0355731,0.0347594,-5.55428,-7.84157,-3.26698,0.459625,3.53934,1007.97,-1.74727e+07,1.74748e+07,3.53934
4574,0.0344541,0.0334857,0.0354225,0.0345797,-5.55428,-7.84208,-3.26649,0.459522,3.54016,1018.18,-1.74767e+07,1.74787e+07,3.54016
4575,0.0343082,0.0333398,0.0352766,0.0343736,-5.55429,-7.84259,-3.26599,0.459444,3.54088,1026.56,-1.74806e+07,1.74826e+07,3.54088
4576,0.034167,0.0331986,0.0351354,0.0342243,-5.55429,-7.84309,-3.2655,0.459318,3.54059,1033.43,-1.74845e+07,1.74865e+07,3.54059
4577,0.0340304,0.033062,0.0349988,0.0340967,-5.5543,-7.8436,-3.265,0.459143,3.53954,1039.09,-1.74883e+07,1.74904e+07,3.53954
4578,0.0338985,0.0329301,0.0348669,0.0338906,-5.5543,-7.8441,-3.2645,0.458944,3.54089,1043.77,-1.74922e+07,1.74943e+07,3.54089
4579,0.0337711,0.0328027,0.0347395,0.0336972,-5.55431,-7.8446,-3.26401,0.458814,3.5417,1047.54,-1.74961e+07,1.74982e+07,3.5417
4580,0.0336475,0.0326791,0.0346159,0.0336618,-5.55431,-7.84511,-3.26351,0.458745,3.54025,1050.63,-1.74999e+07,1.7502e+07,3.54025
4581,0.033528,0.0325596,0.0344964,0.0335478,-5.55431,-7.84561,-3.26301,0.458518,3.54008,1053.16,-1.75038e+07,1.75059e+07,3.54008
4582,0.0334124,0.032444,0.0343808,0.0333495,-5.55431,-7.84611,-3.26251,0.458457,3.5408,1055.24,-1.75076e+07,1.75097e+07,3.5408
4583,0.0333006,0.0323322,0.034269,0.033179,-5.55431,-7.84661,-3.26201,0.458258,3.54037,1056.94,-1.75114e+07,1.75135e+07,3.54037
4584,0.0331924,0.032224,0.0341608,0.033141,-5.55431,-7.84711,-3.26151,0.458169,3.54152,1058.37,-1.75153e+07,1.75174e+07,3.54152
4585,0.033088,0.0321196,0.0340564,0.0329934,-5.55431,-7.84761,-3.26102,0.458079,3.54125,1059.47,-1.75191e+07,1.75212e+07,3.54125
4586,0.0329866,0.0320182,0.033955,0.0329135,-5.55431,-7.84811,-3.26052,0.457983,3.5409,1060.41,-1.75229e+07,1.7525e+07,3.5409
4587,0.0328888,0.0319204,0.0338572,0.0327235,-5.55432,-7.84861,-3.26002,0.457768,3.54224,1061.22,-1.75268e+07,1.75289e+07,3.54224
4588,0.0327943,0.0318259,0.0337627,0.032597,-5.55432,-7.84911,-3.25952,0.457569,3.54137,1061.84,-1.75306e+07,1.75327e+07,3.54137
4589,0.0327027,0.0317343,0.0336711,0.0325744,-5.55432,-7.84961,-3.25902,0.457526,3.75788,488.865,-1.75287e+07,1.75296e+07,3.75788
4590,0.0296637,0.0286953,0.0306321,0.0295108,-5.55397,-7.84977,-3.25818,0.457764,3.76036,19.4593,-1.75278e+07,1.75278e+07,3.76036
4591,0.026724,0.0257556,0.0276924,0.0265494,-5.55369,-7.84999,-3.2574,0.457983,3.76281,-365.164,-1.75277e+07,1.7527e+07,3.76281
4592,0.0238806,0.0229122,0.024849,0.0237637,-5.55347,-7.85026,-3.25667,0.458287,3.76609,-680.33,-1.75284e+07,1.7527e+07,3.76609
4593,0.0211306,0.0201622,0.022099,0.0210309,-5.55328,-7.85058,-3.25598,0.458549,3.76843,-938.674,-1.75296e+07,1.75278e+07,3.76843
4594,0.0184706,0.0175022,0.019439,0.0184086,-5.55312,-7.85092,-3.25533,0.458741,3.77254,-1150.4,-1.75313e+07,1.7529e+07,3.77254
4595,0.015898,0.0149296,0.0168664,0.0157957,-5.553,-7.85129,-3.2547,0.458971,3.77489,-1323.89,-1.75334e+07,1.75307e+07,3.77489
4596,0.0134101,0.0124417,0.0143785,0.0133539,-5.55289,-7.85169,-3.25409,0.459331,3.77707,-1466.23,-1.75358e+07,1.75328e+07,3.77707
4597,0.0110032,0.0100348,0.0119716,0.0110411,-5.55281,-7.85211,-3.25351,0.459655,3.63637,-1201.81,-1.75422e+07,1.75398e+07,3.63637
4598,0.0106425,0.00967406,0.0116109,0.0107731,-5.55297,-7.85276,-3.25317,0.45969,3.63628,-984.956,-1.75482e+07,1.75463e+07,3.63628
4599,0.0102936,0.00932518,0.011262,0.0104388,-5.5531,-7.85339,-3.2528,0.459751,3.63615,-807.08,-1.75538e+07,1.75522e+07,3.63615
4600,0.00995614,0.00898773,0.0109245,0.0101446,-5.5532,-7.854,-3.2524,0.459786,3.63591,-661.188,-1.75591e+07,1.75578e+07,3.63591
4601,0.00962975,0.00866135,0.0105982,0.00975278,-5.55329,-7.85459,-3.25199,0.459687,3.63688,-541.536,-1.75641e+07,1.75631e+07,3.63688
4602,0.00931407,0.00834567,0.0102825,0.00939783,-5.55336,-7.85516,-3.25156,0.459623,3.6382,-443.408,-1.75689e+07,1.75681e+07,3.6382
4603,0.00900874,0.00804033,0.00997714,0.00909156,-5.55342,-7.85572,-3.25112,0.459642,3.63853,-362.935,-1.75736e+07,1.75728e+07,3.63853
4604,0.00871342,0.00774501,0.00968182,0.00877981,-5.55347,-7.85626,-3.25067,0.459685,3.638,-296.944,-1.7578e+07,1.75775e+07,3.638
4605,0.00842778,0.00745937,0.00939618,0.00839393,-5.55351,-7.8568,-3.25021,0.459671,3.63895,-242.829,-1.75824e+07,1.75819e+07,3.63895
4606,0.0081515,0.00718309,0.0091199,0.00813424,-5.55354,-7.85734,-3.24974,0.459728,3.6384,-198.453,-1.75867e+07,1.75863e+07,3.6384
4607,0.00788428,0.00691588,0.00885269,0.00790569,-5.55356,-7.85786,-3.24927,0.459666,3.63843,-162.065,-1.75909e+07,1.75905e+07,3.63843
4608,0.00762582,0.00665742,0.00859423,0.0075868,-5.55359,-7.85838,-3.24879,0.459723,3.63882,-132.228,-1.7595e+07,1.75947e+07,3.63882
4609,0.00737584,0.00640743,0.00834424,0.0072973,-5.5536,-7.8589,-3.24831,0.459707,3.63879,-107.761,-1.7599e+07,1.75988e+07,3.63879
4610,0.00713405,0.00616564,0.00810245,0.0070071,-5.55362,-7.85942,-3.24782,0.459722,3.64035,-87.6997,-1.76031e+07,1.76029e+07,3.64035
4611,0.00690018,0.00593178,0.00786859,0.00673533,-5.55363,-7.85993,-3.24733,0.459638,3.63926,-71.2497,-1.7607e+07,1.76069e+07,3.63926
4612,0.00667399,0.00570558,0.00764239,0.00643174,-5.55364,-7.86044,-3.24684,0.459656,3.64077,-57.7614,-1.7611e+07,1.76109e+07,3.64077
4613,0.00645521,0.0054868,0.00742361,0.00617551,-5.55365,-7.86095,-3.24635,0.459634,3.64013,-46.7016,-1.76149e+07,1.76148e+07,3.64013
4614,0.0062436,0.00527519,0.00721201,0.00595722,-5.55366,-7.86145,-3.24586,0.4596,3.64021,-37.633,-1.76188e+07,1.76187e+07,3.64021
4615,0.00603893,0.00507052,0.00700733,0.00569674,-5.55366,-7.86196,-3.24536,0.45954,3.64199,-30.1972,-1.76227e+07,1.76227e+07,3.64199
4616,0.00584097,0.00487256,0.00680937,0.00549852,-5.55367,-7.86246,-3.24487,0.459601,3.64051,-24.0657,-1.76266e+07,1.76265e+07,3.64051
4617,0.00564968,0.00468127,0.00661808,0.00536672,-5.55367,-7.86297,-3.24437,0.459678,3.64056,-19.0728,-1.76305e+07,1.76304e+07,3.64056
